,Description (2018 Census Occupation Code),2018 Census PUMS Occupation Code
"first-line supervisors of landscaping, lawn service, and groundskeeping workers","first-line supervisors of landscaping, lawn service, and groundskeeping workers",4210
janitors and building cleaners,janitors and building cleaners,4220
"janitors and cleaners, except maids and housekeeping cleaners","janitors and cleaners, except maids and housekeeping cleaners",4220
"building cleaning workers, all other","building cleaning workers, all other",4220
maids and housekeeping cleaners,maids and housekeeping cleaners,4230
pest control workers,pest control workers,4240
landscaping and groundskeeping workers,landscaping and groundskeeping workers,4251
tree trimmers and pruners,tree trimmers and pruners,4252
other grounds maintenance workers,other grounds maintenance workers,4255
"pesticide handlers, sprayers, and applicators, vegetation","pesticide handlers, sprayers, and applicators, vegetation",4255
"grounds maintenance workers, all other","grounds maintenance workers, all other",4255
supervisors of personal care and service workers,supervisors of personal care and service workers,4330
animal trainers,animal trainers,4340
animal caretakers,animal caretakers,4350
gambling services workers,gambling services workers,4400
"ushers, lobby attendants, and ticket takers","ushers, lobby attendants, and ticket takers",4420
other entertainment attendants and related workers,other entertainment attendants and related workers,4435
motion picture and film projectionists,motion picture and film projectionists ,4435
miscellaneous entertainment attendants and related workers,miscellaneous entertainment attendants and related workers,4435
"embalmers, crematory operators and funeral attendants","embalmers, crematory operators and funeral attendants",4461
embalmers,embalmers,4461
crematory operators,crematory operators,4461
funeral attendants,funeral attendants ,4461
"morticians, undertakers, and funeral arrangers","morticians, undertakers, and funeral arrangers",4465
barbers,barbers,4500
"hairdressers, hairstylists, and cosmetologists","hairdressers, hairstylists, and cosmetologists",4510
manicurists and pedicurists,manicurists and pedicurists,4521
skincare specialists,skincare specialists,4522
other personal appearance workers,other personal appearance workers,4525
"makeup artists, theatrical and performance","makeup artists, theatrical and performance ",4525
shampooers,shampooers ,4525
"baggage porters, bellhops, and concierges","baggage porters, bellhops, and concierges",4530
tour and travel guides,tour and travel guides,4540
childcare workers,childcare workers,4600
exercise trainers and group fitness instructors,exercise trainers and group fitness instructors,4621
recreation workers,recreation workers,4622
residential advisors,residential advisors,4640
"personal care and service workers, all other","personal care and service workers, all other",4655
first-line supervisors of retail sales workers,first-line supervisors of retail sales workers,4700
first-line supervisors of non-retail sales workers,first-line supervisors of non-retail sales workers,4710
cashiers,cashiers,4720
counter and rental clerks,counter and rental clerks,4740
parts salespersons,parts salespersons,4750
retail salespersons,retail salespersons,4760
advertising sales agents,advertising sales agents,4800
insurance sales agents,insurance sales agents,4810
"securities, commodities, and financial services sales agents","securities, commodities, and financial services sales agents",4820
travel agents,travel agents,4830
"sales representatives of services, except advertising, insurance, financial services, and travel","sales representatives of services, except advertising, insurance, financial services, and travel",4840
"sales representatives, wholesale and manufacturing","sales representatives, wholesale and manufacturing",4850
"models, demonstrators, and product promoters","models, demonstrators, and product promoters",4900
real estate brokers and sales agents,real estate brokers and sales agents,4920
sales engineers,sales engineers,4930
telemarketers,telemarketers,4940
"door-to-door sales workers, news and street vendors, and related workers","door-to-door sales workers, news and street vendors, and related workers",4950
"sales and related workers, all other","sales and related workers, all other",4965
first-line supervisors of office and administrative support workers,first-line supervisors of office and administrative support workers,5000
"switchboard operators, including answering service","switchboard operators, including answering service",5010
telephone operators,telephone operators,5020
"communications equipment operators, all other","communications equipment operators, all other",5040
bill and account collectors,bill and account collectors,5100
billing and posting clerks,billing and posting clerks,5110
"bookkeeping, accounting, and auditing clerks","bookkeeping, accounting, and auditing clerks",5120
payroll and timekeeping clerks,payroll and timekeeping clerks,5140
procurement clerks,procurement clerks,5150
tellers,tellers,5160
other financial clerks,other financial clerks,5165
gambling cage workers, gambling cage workers,5130
"financial clerks, all other"," financial clerks, all other",5165
"court, municipal, and license clerks","court, municipal, and license clerks",5220
"credit authorizers, checkers, and clerks","credit authorizers, checkers, and clerks",5230
customer service representatives,customer service representatives,5240
"eligibility interviewers, government programs","eligibility interviewers, government programs",5250
file clerks,file clerks,5260
"hotel, motel, and resort desk clerks","hotel, motel, and resort desk clerks",5300
"interviewers, except eligibility and loan","interviewers, except eligibility and loan",5310
"library assistants, clerical","library assistants, clerical",5320
loan interviewers and clerks,loan interviewers and clerks,5330
new accounts clerks,new accounts clerks,5340
correspondence clerks and order clerks,correspondence clerks and order clerks,5350
correspondence clerks, correspondence clerks,5210
order clerks, order clerks,5350
"human resources assistants, except payroll and timekeeping","human resources assistants, except payroll and timekeeping",5360
receptionists and information clerks,receptionists and information clerks,5400
reservation and transportation ticket agents and travel clerks,reservation and transportation ticket agents and travel clerks,5410
other information and records clerks,other information and records clerks,5420
brokerage clerks, brokerage clerks,5200
"information and record clerks, all other"," information and record clerks, all other",5420
cargo and freight agents,cargo and freight agents,5500
couriers and messengers,couriers and messengers,5510
public safety telecommunicators,public safety telecommunicators,5521
"dispatchers, except police, fire, and ambulance","dispatchers, except police, fire, and ambulance",5522
"meter readers, utilities","meter readers, utilities",5530
postal service clerks,postal service clerks,5540
postal service mail carriers,postal service mail carriers,5550
"postal service mail sorters, processors, and processing machine operators","postal service mail sorters, processors, and processing machine operators",5560
"production, planning, and expediting clerks","production, planning, and expediting clerks",5600
"shipping, receiving, and inventory clerks","shipping, receiving, and inventory clerks",5610
"weighers, measurers, checkers, and samplers, recordkeeping","weighers, measurers, checkers, and samplers, recordkeeping",5630
executive secretaries and executive administrative assistants,executive secretaries and executive administrative assistants,5710
legal secretaries and administrative assistants,legal secretaries and administrative assistants,5720
medical secretaries and administrative assistants,medical secretaries and administrative assistants,5730
"secretaries and administrative assistants, except legal, medical, and executive","secretaries and administrative assistants, except legal, medical, and executive",5740
data entry keyers,data entry keyers,5810
word processors and typists,word processors and typists,5820
insurance claims and policy processing clerks,insurance claims and policy processing clerks,5840
